epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8358,1.60388,4.15847,1.76778,0.0613,0.79614,0.13189,0.06854,1.32043,3.26128,1.50944,0.000126907,0.000126907,0.000126907
2,53.9871,1.39759,2.9236,1.53968,0.59217,0.27018,0.30393,0.14652,1.67083,2.36245,1.88666,0.000255234,0.000255234,0.000255234
3,78.5267,1.40373,2.42747,1.51837,0.4725,0.63148,0.57867,0.30794,1.57843,1.96785,1.78082,0.000383532,0.000383532,0.000383532
4,104.117,1.39756,2.12565,1.48272,0.59753,0.68827,0.75927,0.41622,1.54731,1.6259,1.69401,0.000384906,0.000384906,0.000384906
5,129.973,1.388,1.87703,1.45964,0.76298,0.72568,0.80631,0.45345,1.56117,1.46373,1.70155,0.000384833,0.000384833,0.000384833
6,153.887,1.37151,1.72534,1.43896,0.69126,0.82982,0.87199,0.49484,1.54418,1.27542,1.65136,0.000384739,0.000384739,0.000384739
7,179.621,1.34288,1.55777,1.40999,0.84245,0.93508,0.93765,0.52286,1.60877,0.97428,1.70539,0.000384624,0.000384624,0.000384624
8,205.711,1.37134,1.46843,1.42119,0.86042,0.90729,0.95917,0.53875,1.56772,1.0294,1.64995,0.000384488,0.000384488,0.000384488
9,229.837,1.34812,1.36029,1.40808,0.87094,0.94584,0.97589,0.55655,1.54458,0.93798,1.63782,0.000384332,0.000384332,0.000384332
10,256.278,1.32316,1.29882,1.38676,0.93541,0.96728,0.98357,0.57566,1.5092,0.83782,1.6171,0.000384154,0.000384154,0.000384154
11,283.28,1.32571,1.19639,1.38083,0.91327,0.96761,0.98303,0.56607,1.53184,0.81651,1.64371,0.000383956,0.000383956,0.000383956
12,309.712,1.33234,1.14349,1.38785,0.92551,0.94279,0.98191,0.57096,1.51277,0.80454,1.61259,0.000383737,0.000383737,0.000383737
13,334.475,1.30766,1.14449,1.36876,0.91195,0.95569,0.97951,0.54855,1.56902,0.87404,1.63566,0.000383497,0.000383497,0.000383497
14,360.616,1.32867,1.09711,1.38006,0.91057,0.97495,0.98541,0.56009,1.56655,0.75636,1.66624,0.000383237,0.000383237,0.000383237
15,385.93,1.31471,1.03411,1.36038,0.95046,0.98203,0.99102,0.56714,1.52882,0.75809,1.63193,0.000382956,0.000382956,0.000382956
16,409.803,1.31246,1.0028,1.36814,0.9454,0.97247,0.98295,0.55765,1.56357,0.74558,1.68237,0.000382654,0.000382654,0.000382654
17,435.071,1.28908,0.99611,1.35962,0.94485,0.97458,0.99436,0.5762,1.52872,0.73332,1.61928,0.000382331,0.000382331,0.000382331
18,459.812,1.27809,0.94608,1.33942,0.94866,0.97589,0.99264,0.57837,1.50067,0.70005,1.61295,0.000381988,0.000381988,0.000381988
