epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7181,1.70378,4.36932,1.78916,0.46655,0.48033,0.51769,0.27879,1.57189,2.15172,1.79249,0.000126907,0.000126907,0.000126907
2,62.3203,1.41769,1.81143,1.48418,0.65297,0.75197,0.82897,0.44407,1.62981,1.4122,1.82042,0.000255234,0.000255234,0.000255234
3,94.2322,1.42756,1.38699,1.45759,0.7225,0.77237,0.83402,0.41188,1.80389,1.4458,2.02893,0.000383532,0.000383532,0.000383532
4,124.718,1.43748,1.2061,1.45624,0.82703,0.81684,0.90441,0.50472,1.56805,1.19036,1.71276,0.000384906,0.000384906,0.000384906
5,157.15,1.39242,1.09013,1.43826,0.88021,0.84496,0.91014,0.50181,1.6455,0.98203,1.78267,0.000384833,0.000384833,0.000384833
6,187.559,1.39882,1.00753,1.42723,0.90933,0.87011,0.94737,0.54123,1.54263,0.88174,1.66721,0.000384739,0.000384739,0.000384739
7,219.664,1.3742,0.95829,1.40767,0.93592,0.91597,0.96857,0.54143,1.58842,0.74138,1.7095,0.000384624,0.000384624,0.000384624
8,250.742,1.39778,0.93715,1.4154,0.88582,0.95871,0.96565,0.56739,1.53719,0.74118,1.66693,0.000384488,0.000384488,0.000384488
9,282.034,1.37339,0.88901,1.40545,0.89007,0.96011,0.96843,0.5481,1.60442,0.74705,1.68135,0.000384332,0.000384332,0.000384332
10,312.436,1.33824,0.87213,1.37633,0.93073,0.96894,0.98356,0.56386,1.54685,0.66337,1.64871,0.000384154,0.000384154,0.000384154
11,342.391,1.34135,0.83811,1.38939,0.92466,0.94012,0.97774,0.57445,1.51438,0.67792,1.64713,0.000383956,0.000383956,0.000383956
12,374.205,1.34835,0.79975,1.38068,0.9346,0.96903,0.97982,0.57644,1.51882,0.65092,1.6284,0.000383737,0.000383737,0.000383737
13,406.814,1.33566,0.80499,1.37627,0.92476,0.9661,0.97405,0.54792,1.57658,0.65538,1.67815,0.000383497,0.000383497,0.000383497
14,437.178,1.34593,0.79062,1.39291,0.94754,0.95382,0.97898,0.5566,1.59536,0.63666,1.71261,0.000383237,0.000383237,0.000383237
15,467.497,1.32435,0.75437,1.36629,0.92089,0.97909,0.97727,0.55438,1.58479,0.64261,1.67479,0.000382956,0.000382956,0.000382956
16,497.741,1.32636,0.73917,1.37206,0.90065,0.98113,0.97937,0.54479,1.60107,0.64031,1.6998,0.000382654,0.000382654,0.000382654
17,527.961,1.29968,0.73435,1.36124,0.92671,0.94357,0.97498,0.56529,1.56004,0.6789,1.65952,0.000382331,0.000382331,0.000382331
18,558.06,1.30859,0.73293,1.34547,0.9435,0.98734,0.995,0.58111,1.52437,0.59671,1.6119,0.000381988,0.000381988,0.000381988
19,591.021,1.2943,0.74418,1.35591,0.92353,0.96777,0.97916,0.5539,1.56487,0.62227,1.67989,0.000381624,0.000381624,0.000381624
20,621.682,1.30849,0.7469,1.35384,0.89201,0.96527,0.98247,0.55242,1.59281,0.63219,1.66686,0.00038124,0.00038124,0.00038124
21,652.471,1.31132,0.71328,1.36009,0.95475,0.98674,0.97586,0.56828,1.56713,0.55092,1.66915,0.000380835,0.000380835,0.000380835
22,683.214,1.29587,0.71717,1.35891,0.94153,0.98763,0.98008,0.5585,1.5862,0.5649,1.69504,0.00038041,0.00038041,0.00038041
23,714.156,1.29553,0.72102,1.34612,0.92678,0.97851,0.97709,0.56462,1.57947,0.59071,1.66621,0.000379965,0.000379965,0.000379965
24,744.834,1.29196,0.69859,1.34852,0.93953,0.97977,0.97222,0.5735,1.55533,0.57684,1.66853,0.000379499,0.000379499,0.000379499
25,775.457,1.27779,0.68967,1.34755,0.93878,0.97848,0.97451,0.57464,1.56331,0.55724,1.64916,0.000379013,0.000379013,0.000379013
26,806.014,1.26992,0.66868,1.33288,0.9365,0.97537,0.98286,0.56131,1.58179,0.57615,1.67846,0.000378506,0.000378506,0.000378506
27,836.642,1.28486,0.69151,1.34176,0.96677,0.99281,0.98553,0.57064,1.56275,0.54185,1.66526,0.00037798,0.00037798,0.00037798
28,867.185,1.3016,0.67933,1.35405,0.95094,0.98404,0.97278,0.56424,1.55632,0.55117,1.65253,0.000377433,0.000377433,0.000377433
29,897.812,1.26936,0.66773,1.33458,0.94998,0.96674,0.97445,0.57413,1.52578,0.61046,1.67529,0.000376866,0.000376866,0.000376866
30,928.594,1.26105,0.68358,1.33033,0.94994,0.98788,0.9775,0.57799,1.53638,0.5316,1.6736,0.000376279,0.000376279,0.000376279
